#,Node,Module,Function,DUTs,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
16,gw7,system/test_snmp.py,test_ft_snmp_ifx_table,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
17,gw7,system/test_snmp.py,test_ft_snmp_ip_System_Stats_Table,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
18,gw7,system/test_snmp.py,test_ft_snmp_ip_IfStats_Table,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
19,gw7,system/test_snmp.py,test_ft_snmp_ip_Address_Table,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
20,gw7,system/test_snmp.py,test_ft_snmp_ip_NetToPhysical_Table,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
21,gw7,system/test_snmp.py,test_ft_snmp_icmp_Msgs,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
22,gw7,system/test_snmp.py,test_ft_snmp_tcp_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
23,gw7,system/test_snmp.py,test_ft_snmp_udp_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
24,gw7,system/test_snmp.py,test_ft_snmp_snmpv2_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
25,gw7,system/test_snmp.py,test_ft_snmp_host_resource_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
26,gw7,system/test_snmp.py,test_ft_snmp_framework_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
27,gw7,system/test_snmp.py,test_ft_snmp_mpd_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
28,gw7,system/test_snmp.py,test_ft_snmp_target_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
29,gw7,system/test_snmp.py,test_ft_snmp_notification_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
30,gw7,system/test_snmp.py,test_ft_snmp_user_based_sm_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
31,gw7,system/test_snmp.py,test_ft_snmp_view_based_acm_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
32,gw7,system/test_snmp.py,test_ft_snmp_ent_physical_table,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
33,gw7,system/test_snmp.py,test_ft_snmp_dot3_stats_table,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
34,gw7,system/test_snmp.py,test_ft_net_snmp_agent_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
35,gw7,system/test_snmp.py,test_ft_net_snmp_vacm_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
36,gw7,system/test_snmp.py,test_ft_snmp_ucd_diskio_mib,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
37,gw7,system/test_snmp.py,test_ft_snmp_ucd_la_table,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
38,gw7,system/test_snmp.py,test_ft_snmp_ucd_system_stats,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
39,gw7,system/test_snmp.py,test_ft_snmp_dot1q_tp_fdb_port,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
40,gw7,system/test_snmp.py,test_ft_snmp_dot1q_tp_fdb_address,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
41,gw7,system/test_snmp.py,test_ft_snmp_coldstart_trap,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
42,gw7,system/test_snmp.py,test_ft_snmp_docker_restart,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
43,gw7,system/test_snmp.py, --Module--,1,NE,NE,NE,NE,NE,NE
44,gw6,security/test_tacacs.py,test_ft_tacacs_ssh_login_with_tacacs_operations,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
45,gw6,security/test_tacacs.py, --Module--,1,NE,NE,NE,NE,NE,NE
46,gw6,system/test_ntp.py,test_ft_ntp_disable_enable_with_message_log,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
47,gw6,system/test_ntp.py,test_ntp_exists_config,1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
48,gw6,system/test_ntp.py, --Module--,1,NE,NE,NE,NE,NE,NE
49,gw2,switching/test_vlan.py,test_ft_add_unknownvlan_interface,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
50,gw2,switching/test_vlan.py,test_ft_vlan_delete_with_member,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
51,gw2,switching/test_vlan.py,test_ft_vlan_trunk_tagged,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
52,gw2,switching/test_vlan.py,test_ft_vlan_save_config_warm_and_fast_reboot,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
53,gw2,switching/test_vlan.py, --Module--,2,NE,NE,NE,NE,NE,NE
54,gw2,system/test_ssh.py,test_ft_ssh_service_disable,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
55,gw2,system/test_ssh.py,test_ft_ssh_add_user_verify,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
56,gw2,system/test_ssh.py,test_ft_verify_logs_at_the_time_of_ssh_login_success,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
57,gw2,system/test_ssh.py, --Module--,2,NE,NE,NE,NE,NE,NE
58,gw3,switching/test_portchannel.py,test_ft_portchannel_with_vlan_variations,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
59,gw3,switching/test_portchannel.py,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
60,gw3,switching/test_portchannel.py, --Module--,2,NE,NE,NE,NE,NE,NE
61,gw3,system/test_lldp.py,test_ft_lldp_LocManAddrLen,2,NE,NE,NE,NE,NE,NE
62,gw3,system/test_lldp.py,test_ft_lldp_LocManAddrlfld,2,NE,NE,NE,NE,NE,NE
63,gw3,system/test_lldp.py,test_ft_lldp_LocManAddrEntry,2,NE,NE,NE,NE,NE,NE
64,gw3,system/test_lldp.py,test_ft_lldp_ConfigManAddrEntry,2,NE,NE,NE,NE,NE,NE
65,gw3,system/test_lldp.py,test_ft_lldp_lldplocportid,2,NE,NE,NE,NE,NE,NE
66,gw3,system/test_lldp.py,test_ft_lldp_lldplocsysname,2,NE,NE,NE,NE,NE,NE
67,gw3,system/test_lldp.py,test_ft_lldp_lldplocsysdesc,2,NE,NE,NE,NE,NE,NE
68,gw3,system/test_lldp.py,test_ft_lldp_rem_man_addr_table,2,NE,NE,NE,NE,NE,NE
69,gw3,system/test_lldp.py,test_ft_lldp_non_default_config,2,NE,NE,NE,NE,NE,NE
70,gw3,system/test_lldp.py,test_ft_lldp_docker_restart,2,NE,NE,NE,NE,NE,NE
71,gw3,system/test_lldp.py,test_lldp_verify_counters,2,NE,NE,NE,NE,NE,NE
72,gw3,system/test_lldp.py,test_ft_lldp_with_remote_server,2,NE,NE,NE,NE,NE,NE
73,gw3,system/test_lldp.py, --Module--,2,NE,NE,NE,NE,NE,NE
74,gw3,system/test_interface.py,test_ft_port_fn_verify_shut_noshut,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
75,gw3,system/test_interface.py, --Module--,2,NE,NE,NE,NE,NE,NE
